epoch,time,train_loss,val_loss,val_acc
1,2380,0.3084,0.312,90.2
2,4729,0.2357,0.228,92.57
3,7068,0.136,0.208,93.44
4,9412,0.2204,0.184,93.83
5,11769,0.0984,0.175,94.24
6,14121,0.0995,0.151,95.12
7,16445,0.0885,0.158,94.75
8,18787,0.1006,0.143,95.29
9,21131,0.0583,0.146,95.37
10,2798,0.0738,0.157,95.05
11,5571,0.0548,0.141,95.44
12,8341,0.0471,0.138,95.62
13,11099,0.0641,0.149,95.57
14,13863,0.0335,0.165,95.34
15,16630,0.0292,0.154,95.59
16,19393,0.0174,0.159,95.52
17,22158,0.0234,0.15,95.52
18,24933,0.0167,0.156,95.77
19,27703,0.0346,0.15,95.91
20,30481,0.0233,0.151,95.94
21,33252,0.0089,0.136,96.22
22,36017,0.0173,0.145,96.08
23,38782,0.0137,0.144,95.98
24,41547,0.0079,0.142,96.21
25,44320,0.0049,0.138,96.28
26,47092,0.0191,0.143,96.3
27,49870,0.0046,0.144,96.41
28,52646,0.0049,0.136,96.46
29,55408,0.0255,0.14,96.38
30,58184,0.007,0.138,96.55
31,60948,0.0071,0.139,96.54
32,63715,0.0034,0.139,96.47
33,66490,0.0031,0.143,96.55
34,69262,0.0032,0.138,96.66
35,72028,0.0031,0.138,96.54
36,74793,0.0023,0.14,96.56
37,77568,0.0025,0.136,96.66
38,80331,0.0015,0.14,96.62
39,83101,0.0016,0.137,96.58
40,85874,0.0019,0.137,96.7
41,88638,0.0024,0.139,96.58
42,91403,0.0032,0.138,96.66
43,94167,0.0025,0.139,96.65
44,96935,0.0017,0.138,96.66
45,99700,0.002,0.138,96.59
46,102466,0.0018,0.138,96.67
47,105231,0.0012,0.138,96.65
48,107996,0.0024,0.138,96.63
49,110762,0.0017,0.138,96.66
50,113542,0.0032,0.138,96.65
