dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC, postprocessor
covid,91.83,53.31,94.44,6.72,96.59, MSP
nearood,91.83,53.31,94.44,6.72,96.59, MSP
cifar10,14.62,95.38,97.24,91.85,96.59, MSP
farood,14.62,95.38,97.24,91.85,96.59, MSP
covid,2.32,99.39,99.96,89.88,96.59, ViM
nearood,2.32,99.39,99.96,89.88,96.59, ViM
cifar10,0.01,100.00,100.00,100.00,96.59, ViM
farood,0.01,100.00,100.00,100.00,96.59, ViM
covid,0.59,99.78,99.98,93.61,96.59, XAI
nearood,0.59,99.78,99.98,93.61,96.59, XAI
cifar10,0.09,99.98,99.98,99.97,96.59, XAI
farood,0.09,99.98,99.98,99.97,96.59, XAI


